Gear,mycellid,Lat,Lon,avg_eff_gear_yr,eff_smth
Gillnets,-0.25_46.25,-0.25,46.25,20.4340944640168,20.4340944640168
Gillnets,-0.25_46.75,-0.25,46.75,44.503089929617,44.503089929617
Gillnets,-0.25_47.25,-0.25,47.25,50.8613735285492,50.8613735285492
Gillnets,-0.25_47.75,-0.25,47.75,127.01927198619,127.01927198619
Gillnets,-0.25_48.25,-0.25,48.25,251.678571208838,251.678571208838
Gillnets,-0.25_48.75,-0.25,48.75,290.202995362025,290.202995362025
Gillnets,-0.25_49.25,-0.25,49.25,307.02853244504,307.02853244504
Gillnets,-0.25_49.75,-0.25,49.75,364.740463018065,364.740463018065
Gillnets,-0.25_50.25,-0.25,50.25,547.459328727417,547.459328727417
Gillnets,-0.25_50.75,-0.25,50.75,314.04062016982,314.04062016982
Gillnets,-0.25_51.25,-0.25,51.25,159.335454583824,159.335454583824
Gillnets,-0.25_51.75,-0.25,51.75,117.761100954289,117.761100954289
Gillnets,-0.25_52.25,-0.25,52.25,109.028909421422,109.028909421422
Gillnets,-0.25_52.75,-0.25,52.75,172.318086712169,172.318086712169
Gillnets,-0.25_53.25,-0.25,53.25,203.55977973668,203.55977973668
Gillnets,-0.25_53.75,-0.25,53.75,177.379805065159,177.379805065159
Gillnets,-0.25_54.25,-0.25,54.25,153.908534033555,153.908534033555
Gillnets,-0.25_54.75,-0.25,54.75,144.899566610007,144.899566610007
Gillnets,-0.25_55.25,-0.25,55.25,393.572273882966,393.572273882966
Gillnets,-0.25_55.75,-0.25,55.75,12310.3345545997,12310.3345545997
Gillnets,-0.25_56.25,-0.25,56.25,23818.7511568901,23818.7511568901
Gillnets,-0.25_56.75,-0.25,56.75,11917.348601976,11917.348601976
Gillnets,-0.25_57.25,-0.25,57.25,198.022416739392,198.022416739392
Gillnets,-0.25_57.75,-0.25,57.75,198.367327607322,198.367327607322
Gillnets,-0.25_58.25,-0.25,58.25,128.57911635025,128.57911635025
Gillnets,-0.25_58.75,-0.25,58.75,117.88751514239,117.88751514239
Gillnets,-0.25_59.25,-0.25,59.25,190.742250828443,190.742250828443
Gillnets,-0.25_59.75,-0.25,59.75,149.950541215022,149.950541215022
