Gear,mycellid,Lat,Lon,avg_eff_gear_yr,eff_smth
Lines_Longlines,-0.25_46.25,-0.25,46.25,9.41650788645454,9.41650788645454
Lines_Longlines,-0.25_46.75,-0.25,46.75,24.5930168747833,24.5930168747833
Lines_Longlines,-0.25_47.25,-0.25,47.25,57.2227991968453,57.2227991968453
Lines_Longlines,-0.25_47.75,-0.25,47.75,184.8156487936,184.8156487936
Lines_Longlines,-0.25_48.25,-0.25,48.25,294.524902748782,294.524902748782
Lines_Longlines,-0.25_48.75,-0.25,48.75,369.796533032603,369.796533032603
Lines_Longlines,-0.25_49.25,-0.25,49.25,250.245322663634,250.245322663634
Lines_Longlines,-0.25_49.75,-0.25,49.75,190.799056678352,190.799056678352
Lines_Longlines,-0.25_50.25,-0.25,50.25,212.40747195673,212.40747195673
Lines_Longlines,-0.25_50.75,-0.25,50.75,204.427687137318,204.427687137318
Lines_Longlines,-0.25_51.25,-0.25,51.25,195.479297347111,195.479297347111
Lines_Longlines,-0.25_51.75,-0.25,51.75,205.79019400727,205.79019400727
Lines_Longlines,-0.25_52.25,-0.25,52.25,199.697352132394,199.697352132394
Lines_Longlines,-0.25_52.75,-0.25,52.75,254.373713552718,254.373713552718
Lines_Longlines,-0.25_53.25,-0.25,53.25,280.690477376978,280.690477376978
Lines_Longlines,-0.25_53.75,-0.25,53.75,299.921481647756,299.921481647756
Lines_Longlines,-0.25_54.25,-0.25,54.25,378.891400273738,378.891400273738
Lines_Longlines,-0.25_54.75,-0.25,54.75,273.382851383251,273.382851383251
Lines_Longlines,-0.25_55.25,-0.25,55.25,549.312558916412,549.312558916412
Lines_Longlines,-0.25_55.75,-0.25,55.75,17033.706059132,12747.2444867368
Lines_Longlines,-0.25_56.25,-0.25,56.25,32860.3624580926,12747.2444867368
Lines_Longlines,-0.25_56.75,-0.25,56.75,16490.4409348077,12747.2444867368
Lines_Longlines,-0.25_57.25,-0.25,57.25,289.118272185498,289.118272185498
Lines_Longlines,-0.25_57.75,-0.25,57.75,302.976879089313,302.976879089313
Lines_Longlines,-0.25_58.25,-0.25,58.25,368.460106520241,368.460106520241
Lines_Longlines,-0.25_58.75,-0.25,58.75,392.284183712826,392.284183712826
Lines_Longlines,-0.25_59.25,-0.25,59.25,346.238337236081,346.238337236081
Lines_Longlines,-0.25_59.75,-0.25,59.75,277.835797242786,277.835797242786
Lines_Longlines,-0.25_60.25,-0.25,60.25,252.578698306941,252.578698306941
Lines_Longlines,-0.25_60.75,-0.25,60.75,229.612786801952,229.612786801952
Lines_Longlines,-0.25_61.25,-0.25,61.25,299.421311574615,299.421311574615
Lines_Longlines,-0.25_61.75,-0.25,61.75,336.726171804193,336.726171804193
Lines_Longlines,-0.25_62.25,-0.25,62.25,285.930333208768,285.930333208768
Lines_Longlines,-0.25_62.75,-0.25,62.75,182.476392446368,182.476392446368
Lines_Longlines,-0.25_63.25,-0.25,63.25,157.155017408968,157.155017408968
Lines_Longlines,-0.25_63.75,-0.25,63.75,180.316636372785,180.316636372785
Lines_Longlines,-0.25_64.25,-0.25,64.25,204.570631026608,204.570631026608
Lines_Longlines,-0.25_64.75,-0.25,64.75,199.241656496434,199.241656496434
Lines_Longlines,-0.25_65.25,-0.25,65.25,187.541542328981,187.541542328981
Lines_Longlines,-0.25_65.75,-0.25,65.75,180.148755808106,180.148755808106
Lines_Longlines,-0.25_66.25,-0.25,66.25,359.342394297596,359.342394297596
