Gear,mycellid,Lat,Lon,avg_eff_gear_yr,eff_smth
Seine_Purse_Seine,-0.25_46.25,-0.25,46.25,18.3825449528302,18.3825449528302
Seine_Purse_Seine,-0.25_46.75,-0.25,46.75,79.0458529177174,79.0458529177174
Seine_Purse_Seine,-0.25_47.25,-0.25,47.25,229.574269058916,229.574269058916
Seine_Purse_Seine,-0.25_47.75,-0.25,47.75,441.919497330911,441.919497330911
Seine_Purse_Seine,-0.25_48.25,-0.25,48.25,562.917381266251,562.917381266251
Seine_Purse_Seine,-0.25_48.75,-0.25,48.75,683.287011261013,683.287011261013
Seine_Purse_Seine,-0.25_49.25,-0.25,49.25,687.231885420973,687.231885420973
Seine_Purse_Seine,-0.25_49.75,-0.25,49.75,678.626306240285,678.626306240285
Seine_Purse_Seine,-0.25_50.25,-0.25,50.25,617.649162210974,617.649162210974
Seine_Purse_Seine,-0.25_50.75,-0.25,50.75,557.890269058572,557.890269058572
Seine_Purse_Seine,-0.25_51.25,-0.25,51.25,799.734547548357,799.734547548357
Seine_Purse_Seine,-0.25_51.75,-0.25,51.75,520.941312228055,520.941312228055
Seine_Purse_Seine,-0.25_52.25,-0.25,52.25,350.180048074697,350.180048074697
Seine_Purse_Seine,-0.25_52.75,-0.25,52.75,387.104674417518,387.104674417518
Seine_Purse_Seine,-0.25_53.25,-0.25,53.25,526.498159920542,526.498159920542
Seine_Purse_Seine,-0.25_53.75,-0.25,53.75,757.78228824423,757.78228824423
Seine_Purse_Seine,-0.25_54.25,-0.25,54.25,1348.68249098649,1348.68249098649
Seine_Purse_Seine,-0.25_54.75,-0.25,54.75,1285.42923061842,1285.42923061842
Seine_Purse_Seine,-0.25_55.25,-0.25,55.25,876.533480575155,876.533480575155
Seine_Purse_Seine,-0.25_55.75,-0.25,55.75,4802.60665351512,4802.60665351512
Seine_Purse_Seine,-0.25_56.25,-0.25,56.25,7452.45389488899,5806.00996302426
Seine_Purse_Seine,-0.25_56.75,-0.25,56.75,4137.63163579399,4137.63163579399
Seine_Purse_Seine,-0.25_57.25,-0.25,57.25,823.416005612973,823.416005612973
Seine_Purse_Seine,-0.25_57.75,-0.25,57.75,568.901181023402,568.901181023402
Seine_Purse_Seine,-0.25_58.25,-0.25,58.25,497.669649814869,497.669649814869
Seine_Purse_Seine,-0.25_58.75,-0.25,58.75,499.887680815708,499.887680815708
Seine_Purse_Seine,-0.25_59.25,-0.25,59.25,436.348472342251,436.348472342251
Seine_Purse_Seine,-0.25_59.75,-0.25,59.75,341.60689198353,341.60689198353
Seine_Purse_Seine,-0.25_60.25,-0.25,60.25,362.281826232256,362.281826232256
Seine_Purse_Seine,-0.25_60.75,-0.25,60.75,369.680864913264,369.680864913264
Seine_Purse_Seine,-0.25_61.25,-0.25,61.25,515.962636859901,515.962636859901
Seine_Purse_Seine,-0.25_61.75,-0.25,61.75,600.411785747186,600.411785747186
Seine_Purse_Seine,-0.25_62.25,-0.25,62.25,341.061955241978,341.061955241978
Seine_Purse_Seine,-0.25_62.75,-0.25,62.75,187.715839570938,187.715839570938
Seine_Purse_Seine,-0.25_63.25,-0.25,63.25,233.473825143393,233.473825143393
Seine_Purse_Seine,-0.25_63.75,-0.25,63.75,272.02403848842,272.02403848842
Seine_Purse_Seine,-0.25_64.25,-0.25,64.25,236.025717749949,236.025717749949
Seine_Purse_Seine,-0.25_64.75,-0.25,64.75,300.727906478401,300.727906478401
Seine_Purse_Seine,-0.25_65.25,-0.25,65.25,302.224191346985,302.224191346985
Seine_Purse_Seine,-0.25_65.75,-0.25,65.75,290.491886058182,290.491886058182
Seine_Purse_Seine,-0.25_66.25,-0.25,66.25,338.331805790967,338.331805790967
Seine_Purse_Seine,-0.25_66.75,-0.25,66.75,486.564280163358,486.564280163358
Seine_Purse_Seine,-0.25_67.25,-0.25,67.25,654.393898394738,654.393898394738
Seine_Purse_Seine,-0.25_67.75,-0.25,67.75,996.011652755243,996.011652755243
Seine_Purse_Seine,-0.25_68.25,-0.25,68.25,1466.46695892277,1466.46695892277
Seine_Purse_Seine,-0.25_68.75,-0.25,68.75,821.474266962662,821.474266962662
Seine_Purse_Seine,-0.25_69.25,-0.25,69.25,633.481701355863,633.481701355863
Seine_Purse_Seine,-0.25_69.75,-0.25,69.75,508.176519625129,508.176519625129
Seine_Purse_Seine,-0.25_70.25,-0.25,70.25,123.41621621464,123.41621621464
Seine_Purse_Seine,-0.25_76.25,-0.25,76.25,191.320361085224,191.320361085224
Seine_Purse_Seine,-0.25_76.75,-0.25,76.75,752.557758911662,752.557758911662
Seine_Purse_Seine,-0.25_77.25,-0.25,77.25,1189.62512097084,1189.62512097084
Seine_Purse_Seine,-0.25_77.75,-0.25,77.75,570.537801888182,570.537801888182
Seine_Purse_Seine,-0.25_78.25,-0.25,78.25,775.404056755316,775.404056755316
Seine_Purse_Seine,-0.25_78.75,-0.25,78.75,1179.81961485859,1179.81961485859
Seine_Purse_Seine,-0.25_79.25,-0.25,79.25,783.151348795052,783.151348795052
Seine_Purse_Seine,-0.25_79.75,-0.25,79.75,436.299424102467,436.299424102467
Seine_Purse_Seine,-0.25_80.25,-0.25,80.25,345.24139571773,345.24139571773
Seine_Purse_Seine,-0.25_80.75,-0.25,80.75,411.837008181514,411.837008181514
Seine_Purse_Seine,-0.25_81.25,-0.25,81.25,363.555139469176,363.555139469176
Seine_Purse_Seine,-0.25_81.75,-0.25,81.75,291.570212454243,291.570212454243
Seine_Purse_Seine,-0.25_82.25,-0.25,82.25,408.412902549149,408.412902549149
