ncells_spp,species_id
73,Fis_125906
556,Fis_131127
212,Fis_131407
370,Fis_131465
37,Fis_131805
355,Fis_131815
119,Fis_131821
41,Fis_131829
39,Fis_131831
723,Fis_131843
486,Fis_131844
1519,Fis_131852
108,Fis_132130
4,Fis_132518
203,Fis_132520
407,Fis_132528
25,Fis_132543
478,Fis_132550
64,Fis_132559
296,Fis_139820
639,Fis_140161
1868,Fis_140634
7848,Fis_140639
1084,Fis_140641
2978,Fis_140692
21,Fis_142376
160,Fis_144985
7929,Fis_146573
2585,Fis_146574
445,Fis_148497
415,Fis_149485
348,Fis_154008
255,Fis_154010
224,Fis_154012
1074,Fis_154456
610,Fis_156398
381,Fis_15849
233,Fis_159132
372,Fis_159136
1370,Fis_159582
1177,Fis_159583
576,Fis_159584
2861,Fis_159586
546,Fis_160267
913,Fis_160378
4266,Fis_160439
7880,Fis_160444
353,Fis_160464
239,Fis_160691
316,Fis_160851
307,Fis_160854
24,Fis_160862
298,Fis_160879
9,Fis_160881
138,Fis_160886
82,Fis_160887
10,Fis_160925
369,Fis_160938
563,Fis_161155
248,Fis_161159
459,Fis_161202
704,Fis_161209
403,Fis_161213
387,Fis_161218
484,Fis_161221
131,Fis_161225
492,Fis_161228
249,Fis_161233
199,Fis_161235
6770,Fis_161400
312,Fis_161402
472,Fis_161412
163,Fis_161438
4473,Fis_161440
2323,Fis_161448
707,Fis_161453
586,Fis_161456
474,Fis_161457
383,Fis_161466
242,Fis_161470
272,Fis_161473
1372,Fis_161480
621,Fis_161488
567,Fis_161491
192,Fis_161493
1688,Fis_161494
314,Fis_161495
249,Fis_161638
1516,Fis_163295
153,Fis_164471
52,Fis_164699
680,Fis_165849
4320,Fis_166044
1418,Fis_166734
166,Fis_166946
678,Fis_169677
451,Fis_170052
103,Fis_170784
19180,Fis_20033
2071,Fis_21798
1720,Fis_21801
3549,Fis_22747
9999,Fis_22768
60,Fis_22814
30,Fis_23008
201,Fis_23028
255,Fis_23029
2148,Fis_23044
2246,Fis_23045
1151,Fis_23046
2441,Fis_23047
1645,Fis_23048
1097,Fis_23050
1856,Fis_23051
329,Fis_23052
438,Fis_23053
14823,Fis_23054
168,Fis_23055
