species_id,class,common_name,sciname,grp_code,depth_m_min_adj,depth_m_max_adj,gear,gear_min,gear_max,ol_length,gear_range,spp_range,encount_prob,overlap_prop,encount123
ITS-Mam-180471,Mammalia,Irrawaddy dolphin,Orcaella brevirostris,IDP,0,15,GND,0,20,15,20,15,0.75,1,3
ITS-Mam-180471,Mammalia,Irrawaddy dolphin,Orcaella brevirostris,IDP,0,15,PST,0,280,15,280,15,0.05357142857142857,1,3
ITS-Mam-180471,Mammalia,Irrawaddy dolphin,Orcaella brevirostris,IDP,0,15,LLT,0,400,15,400,15,0.0375,1,3
ITS-Mam-771132,Mammalia,Australian snubfin dolphin,Orcaella heinsohni,IDP,0,20,GND,0,20,20,20,20,1,1,3
ITS-Mam-771132,Mammalia,Australian snubfin dolphin,Orcaella heinsohni,IDP,0,20,PST,0,280,20,280,20,0.07142857142857142,1,3
ITS-Mam-771132,Mammalia,Australian snubfin dolphin,Orcaella heinsohni,IDP,0,20,LLT,0,400,20,400,20,0.05,1,3
ITS-Mam-180419,Mammalia,Pacific humpback dolphin,Sousa chinensis,IDP,0,25,GND,0,20,20,20,25,0.8,0.8,3
ITS-Mam-180419,Mammalia,Pacific humpback dolphin,Sousa chinensis,IDP,0,25,PST,0,280,25,280,25,0.08928571428571429,1,3
ITS-Mam-180419,Mammalia,Pacific humpback dolphin,Sousa chinensis,IDP,0,25,LLT,0,400,25,400,25,0.0625,1,3
Rep-2666,Reptilia,loggerhead turtle,Caretta caretta,ST,0,40,GND,0,20,20,20,40,0.5,0.5,2
Rep-2666,Reptilia,loggerhead turtle,Caretta caretta,ST,0,40,PST,0,280,40,280,40,0.14285714285714285,1,3
Rep-2666,Reptilia,loggerhead turtle,Caretta caretta,ST,0,40,LLT,0,400,40,400,40,0.1,1,3
ITS-Mam-180451,Mammalia,Heaviside's dolphin,Cephalorhynchus heavisidii,IDP,0,50,GND,0,20,20,20,50,0.4,0.4,2
ITS-Mam-180451,Mammalia,Heaviside's dolphin,Cephalorhynchus heavisidii,IDP,0,50,PST,0,280,50,280,50,0.17857142857142858,1,3
ITS-Mam-180451,Mammalia,Heaviside's dolphin,Cephalorhynchus heavisidii,IDP,0,50,LLT,0,400,50,400,50,0.125,1,3
ITS-Mam-180478,Mammalia,finless porpoise,Neophocaena phocaenoides,IDP,0,50,GND,0,20,20,20,50,0.4,0.4,2
ITS-Mam-180478,Mammalia,finless porpoise,Neophocaena phocaenoides,IDP,0,50,PST,0,280,50,280,50,0.17857142857142858,1,3
ITS-Mam-180478,Mammalia,finless porpoise,Neophocaena phocaenoides,IDP,0,50,LLT,0,400,50,400,50,0.125,1,3
ITS-Mam-612596,Mammalia,Indian Ocean bottlenose dolphin,Tursiops aduncus,IDP,0,50,GND,0,20,20,20,50,0.4,0.4,2
ITS-Mam-612596,Mammalia,Indian Ocean bottlenose dolphin,Tursiops aduncus,IDP,0,50,PST,0,280,50,280,50,0.17857142857142858,1,3
ITS-Mam-612596,Mammalia,Indian Ocean bottlenose dolphin,Tursiops aduncus,IDP,0,50,LLT,0,400,50,400,50,0.125,1,3
ITS-Mam-180449,Mammalia,Commerson's dolphin,Cephalorhynchus commersonii,SOCD,0,50,GND,0,20,20,20,50,0.4,0.4,2
ITS-Mam-180449,Mammalia,Commerson's dolphin,Cephalorhynchus commersonii,SOCD,0,50,PST,0,280,50,280,50,0.17857142857142858,1,3
ITS-Mam-180449,Mammalia,Commerson's dolphin,Cephalorhynchus commersonii,SOCD,0,50,LLT,0,400,50,400,50,0.125,1,3
Fis-32599,Elasmobranchii,Longcomb sawfish,Pristis zijsron,IE,1,70,GND,0,20,19,20,69,0.26159420289855073,0.2753623188405797,2
Fis-32599,Elasmobranchii,Longcomb sawfish,Pristis zijsron,IE,1,70,PST,0,280,69,280,69,0.24642857142857144,1,3
Fis-32599,Elasmobranchii,Longcomb sawfish,Pristis zijsron,IE,1,70,LLT,0,400,69,400,69,0.1725,1,3
Rep-2941,Reptilia,green sea turtle,Chelonia mydas,ST,0,95,GND,0,20,20,20,95,0.21052631578947367,0.21052631578947367,1
Rep-2941,Reptilia,green sea turtle,Chelonia mydas,ST,0,95,PST,0,280,95,280,95,0.3392857142857143,1,3
Rep-2941,Reptilia,green sea turtle,Chelonia mydas,ST,0,95,LLT,0,400,95,400,95,0.2375,1,3
Rep-6936,Reptilia,Olive ridley turtle,Lepidochelys olivacea,ST,0,95,GND,0,20,20,20,95,0.21052631578947367,0.21052631578947367,1
Rep-6936,Reptilia,Olive ridley turtle,Lepidochelys olivacea,ST,0,95,PST,0,280,95,280,95,0.3392857142857143,1,3
Rep-6936,Reptilia,Olive ridley turtle,Lepidochelys olivacea,ST,0,95,LLT,0,400,95,400,95,0.2375,1,3
Rep-8732,Reptilia,flatback turtle,Natator depressa,ST,0,95,GND,0,20,20,20,95,0.21052631578947367,0.21052631578947367,1
Rep-8732,Reptilia,flatback turtle,Natator depressa,ST,0,95,PST,0,280,95,280,95,0.3392857142857143,1,3
Rep-8732,Reptilia,flatback turtle,Natator depressa,ST,0,95,LLT,0,400,95,400,95,0.2375,1,3
ITS-Mam-612592,Mammalia,Antarctic minke whale,Balaenoptera bonaerensis,BW,0,100,GND,0,20,20,20,100,0.2,0.2,1
ITS-Mam-612592,Mammalia,Antarctic minke whale,Balaenoptera bonaerensis,BW,0,100,PST,0,280,100,280,100,0.35714285714285715,1,3
ITS-Mam-612592,Mammalia,Antarctic minke whale,Balaenoptera bonaerensis,BW,0,100,LLT,0,400,100,400,100,0.25,1,3
ITS-Mam-180535,Mammalia,pygmy right whale,Caperea marginata,BW,0,100,GND,0,20,20,20,100,0.2,0.2,1
ITS-Mam-180535,Mammalia,pygmy right whale,Caperea marginata,BW,0,100,PST,0,280,100,280,100,0.35714285714285715,1,3
ITS-Mam-180535,Mammalia,pygmy right whale,Caperea marginata,BW,0,100,LLT,0,400,100,400,100,0.25,1,3
Fis-23051,Elasmobranchii,Spinner shark,Carcharhinus brevipinna,SSE,3,100,GND,0,20,17,20,97,0.14896907216494845,0.17525773195876287,1
Fis-23051,Elasmobranchii,Spinner shark,Carcharhinus brevipinna,SSE,3,100,PST,0,280,97,280,97,0.3464285714285714,1,3
Fis-23051,Elasmobranchii,Spinner shark,Carcharhinus brevipinna,SSE,3,100,LLT,0,400,97,400,97,0.2425,1,3
Fis-23060,Elasmobranchii,Blacktip shark,Carcharhinus limbatus,SSE,3,100,GND,0,20,17,20,97,0.14896907216494845,0.17525773195876287,1
Fis-23060,Elasmobranchii,Blacktip shark,Carcharhinus limbatus,SSE,3,100,PST,0,280,97,280,97,0.3464285714285714,1,3
Fis-23060,Elasmobranchii,Blacktip shark,Carcharhinus limbatus,SSE,3,100,LLT,0,400,97,400,97,0.2425,1,3
ITS-Mam-555654,Mammalia,Indo-Pacific common dolphin,Delphinus delphis tropicalis,SOCD,0,100,GND,0,20,20,20,100,0.2,0.2,1
ITS-Mam-555654,Mammalia,Indo-Pacific common dolphin,Delphinus delphis tropicalis,SOCD,0,100,PST,0,280,100,280,100,0.35714285714285715,1,3
ITS-Mam-555654,Mammalia,Indo-Pacific common dolphin,Delphinus delphis tropicalis,SOCD,0,100,LLT,0,400,100,400,100,0.25,1,3
ITS-Mam-180430,Mammalia,Pantropical spotted dolphin,Stenella attenuata,SOCD,0,100,GND,0,20,20,20,100,0.2,0.2,1
ITS-Mam-180430,Mammalia,Pantropical spotted dolphin,Stenella attenuata,SOCD,0,100,PST,0,280,100,280,100,0.35714285714285715,1,3
ITS-Mam-180430,Mammalia,Pantropical spotted dolphin,Stenella attenuata,SOCD,0,100,LLT,0,400,100,400,100,0.25,1,3
ITS-Mam-180417,Mammalia,rough-toothed dolphin,Steno bredanensis,SOCD,0,100,GND,0,20,20,20,100,0.2,0.2,1
ITS-Mam-180417,Mammalia,rough-toothed dolphin,Steno bredanensis,SOCD,0,100,PST,0,280,100,280,100,0.35714285714285715,1,3
ITS-Mam-180417,Mammalia,rough-toothed dolphin,Steno bredanensis,SOCD,0,100,LLT,0,400,100,400,100,0.25,1,3
Fis-159132,Elasmobranchii,Western wobbegong,Orectolobus hutchinsi,BE,5,106,GND,0,20,15,20,101,0.11138613861386136,0.1485148514851485,1
Fis-159132,Elasmobranchii,Western wobbegong,Orectolobus hutchinsi,BE,5,106,PST,0,280,101,280,101,0.3607142857142857,1,3
Fis-159132,Elasmobranchii,Western wobbegong,Orectolobus hutchinsi,BE,5,106,LLT,0,400,101,400,101,0.2525,1,3
Fis-23201,Elasmobranchii,Spotted wobbegong,Orectolobus maculatus,BE,5,110,GND,0,20,15,20,105,0.10714285714285714,0.14285714285714285,1
Fis-23201,Elasmobranchii,Spotted wobbegong,Orectolobus maculatus,BE,5,110,PST,0,280,105,280,105,0.375,1,3
Fis-23201,Elasmobranchii,Spotted wobbegong,Orectolobus maculatus,BE,5,110,LLT,0,400,105,400,105,0.2625,1,3
Rep-5181,Reptilia,hawksbill turtle,Eretmochelys imbricata,ST,0,140,GND,0,20,20,20,140,0.14285714285714285,0.14285714285714285,1
Rep-5181,Reptilia,hawksbill turtle,Eretmochelys imbricata,ST,0,140,PST,0,280,140,280,140,0.5,1,3
Rep-5181,Reptilia,hawksbill turtle,Eretmochelys imbricata,ST,0,140,LLT,0,400,140,400,140,0.35,1,3
Fis-164471,Elasmobranchii,Thornback skate,Dentiraja lemprieri,BE,3,170,GND,0,20,17,20,167,0.08652694610778443,0.10179640718562874,1
Fis-164471,Elasmobranchii,Thornback skate,Dentiraja lemprieri,BE,3,170,PST,0,280,167,280,167,0.5964285714285714,1,3
Fis-164471,Elasmobranchii,Thornback skate,Dentiraja lemprieri,BE,3,170,LLT,0,400,167,400,167,0.4175,1,3
ITS-Mam-552771,Mammalia,southern right whale,Eubalaena australis,BW,0,175,GND,0,20,20,20,175,0.11428571428571428,0.11428571428571428,1
ITS-Mam-552771,Mammalia,southern right whale,Eubalaena australis,BW,0,175,PST,0,280,175,280,175,0.625,1,3
ITS-Mam-552771,Mammalia,southern right whale,Eubalaena australis,BW,0,175,LLT,0,400,175,400,175,0.4375,1,3
ITS-Mam-180530,Mammalia,humpback whale,Megaptera novaeangliae,BW,0,200,GND,0,20,20,20,200,0.1,0.1,1
ITS-Mam-180530,Mammalia,humpback whale,Megaptera novaeangliae,BW,0,200,PST,0,280,200,280,200,0.7142857142857143,1,3
ITS-Mam-180530,Mammalia,humpback whale,Megaptera novaeangliae,BW,0,200,LLT,0,400,200,400,200,0.5,1,3
Fis-23277,Elasmobranchii,Smooth hammerhead,Sphyrna zygaena,SSE,5,200,GND,0,20,15,20,195,0.05769230769230769,0.07692307692307693,1
Fis-23277,Elasmobranchii,Smooth hammerhead,Sphyrna zygaena,SSE,5,200,PST,0,280,195,280,195,0.6964285714285714,1,3
Fis-23277,Elasmobranchii,Smooth hammerhead,Sphyrna zygaena,SSE,5,200,LLT,0,400,195,400,195,0.4875,1,3
ITS-Mam-180438,Mammalia,common dolphin,Delphinus delphis,SOCD,0,200,GND,0,20,20,20,200,0.1,0.1,1
ITS-Mam-180438,Mammalia,common dolphin,Delphinus delphis,SOCD,0,200,PST,0,280,200,280,200,0.7142857142857143,1,3
ITS-Mam-180438,Mammalia,common dolphin,Delphinus delphis,SOCD,0,200,LLT,0,400,200,400,200,0.5,1,3
ITS-Mam-180447,Mammalia,hourglass dolphin,Lagenorhynchus cruciger,SOCD,0,200,GND,0,20,20,20,200,0.1,0.1,1
ITS-Mam-180447,Mammalia,hourglass dolphin,Lagenorhynchus cruciger,SOCD,0,200,PST,0,280,200,280,200,0.7142857142857143,1,3
