species_id,class,common_name,sciname,grp_code,depth_m_min_adj,depth_m_max_adj,gear,gear_min,gear_max,ol_length,gear_range,spp_range,encount_prob,overlap_prop,encount123,sumA,ncells_overlap,A_scaled,ncells_spp,prop_exposure,avail123,sel0123,pcm,suscept0123
ITS-Mam-180471,Mammalia,Irrawaddy dolphin,Orcaella brevirostris,IDP,0,15,GND,0,20,15,20,15,0.75,1,3,165.7305639386177,249,1.282425242364176,317,0.7854889589905363,3,3,3,3.0000000000000004
ITS-Mam-180471,Mammalia,Irrawaddy dolphin,Orcaella brevirostris,IDP,0,15,PST,0,280,15,280,15,0.05357142857142857,1,3,37.80773140961537,236,1.0644273577900825,317,0.7444794952681388,3,1,1,1.7320508075688774
ITS-Mam-180471,Mammalia,Irrawaddy dolphin,Orcaella brevirostris,IDP,0,15,LLT,0,400,15,400,15,0.0375,1,3,52.83977353608134,247,1.090043999632775,317,0.7791798107255521,3,1,1,1.7320508075688774
ITS-Mam-771132,Mammalia,Australian snubfin dolphin,Orcaella heinsohni,IDP,0,20,GND,0,20,20,20,20,1,1,3,14.999441987019964,182,1.0255589341742108,208,0.875,3,3,3,3.0000000000000004
ITS-Mam-771132,Mammalia,Australian snubfin dolphin,Orcaella heinsohni,IDP,0,20,PST,0,280,20,280,20,0.07142857142857142,1,3,6.340674983744975,182,1.010803218932321,208,0.875,3,1,1,1.7320508075688774
ITS-Mam-771132,Mammalia,Australian snubfin dolphin,Orcaella heinsohni,IDP,0,20,LLT,0,400,20,400,20,0.05,1,3,24.76300799404271,182,1.0421973770022177,208,0.875,3,1,1,1.7320508075688774
ITS-Mam-180419,Mammalia,Pacific humpback dolphin,Sousa chinensis,IDP,0,25,GND,0,20,20,20,25,0.8,0.8,3,374.10336836695205,1054,1.6375208079493864,1417,0.7438249823570925,3,3,3,3.0000000000000004
ITS-Mam-180419,Mammalia,Pacific humpback dolphin,Sousa chinensis,IDP,0,25,PST,0,280,25,280,25,0.08928571428571429,1,3,99.00067744648732,1040,1.168708450720622,1417,0.7339449541284404,3,1,1,1.7320508075688774
ITS-Mam-180419,Mammalia,Pacific humpback dolphin,Sousa chinensis,IDP,0,25,LLT,0,400,25,400,25,0.0625,1,3,186.47720896696592,1070,1.317780343863857,1417,0.7551164431898377,3,1,1,1.7320508075688774
Rep-2666,Reptilia,loggerhead turtle,Caretta caretta,ST,0,40,GND,0,20,20,20,40,0.5,0.5,2,1134.86551153828,17265,2.9339628472374337,18890,0.9139756484912652,3,3,3,2.7108060108295344
Rep-2666,Reptilia,loggerhead turtle,Caretta caretta,ST,0,40,PST,0,280,40,280,40,0.14285714285714285,1,3,362.91217362149257,17532,1.618449491811872,18890,0.9281101111699311,3,3,2,2.7108060108295344
Rep-2666,Reptilia,loggerhead turtle,Caretta caretta,ST,0,40,LLT,0,400,40,400,40,0.1,1,3,735.5038455799119,17630,2.2533963163237907,18890,0.9332980412916887,3,3,2,2.7108060108295344
ITS-Mam-180451,Mammalia,Heaviside's dolphin,Cephalorhynchus heavisidii,IDP,0,50,GND,0,20,20,20,50,0.4,0.4,2,0.8117432493017986,19,1.0013811681675373,19,1,3,3,3,2.7108060108295344
ITS-Mam-180451,Mammalia,Heaviside's dolphin,Cephalorhynchus heavisidii,IDP,0,50,PST,0,280,50,280,50,0.17857142857142858,1,3,0.461098387662787,19,1.00078362168922,19,1,3,1,1,1.7320508075688774
ITS-Mam-180451,Mammalia,Heaviside's dolphin,Cephalorhynchus heavisidii,IDP,0,50,LLT,0,400,50,400,50,0.125,1,3,0.5330811273306608,19,1.0009062900562598,19,1,3,1,1,1.7320508075688774
ITS-Mam-180478,Mammalia,finless porpoise,Neophocaena phocaenoides,IDP,0,50,GND,0,20,20,20,50,0.4,0.4,2,353.26188942277804,429,1.6020040965742266,591,0.7258883248730964,3,3,3,2.7108060108295344
ITS-Mam-180478,Mammalia,finless porpoise,Neophocaena phocaenoides,IDP,0,50,PST,0,280,50,280,50,0.17857142857142858,1,3,69.45230715105572,410,1.1183540136770578,591,0.6937394247038917,3,1,1,1.7320508075688774
ITS-Mam-180478,Mammalia,finless porpoise,Neophocaena phocaenoides,IDP,0,50,LLT,0,400,50,400,50,0.125,1,3,98.68514238064743,400,1.1681707361039102,591,0.676818950930626,3,1,1,1.7320508075688774
ITS-Mam-612596,Mammalia,Indian Ocean bottlenose dolphin,Tursiops aduncus,IDP,0,50,GND,0,20,20,20,50,0.4,0.4,2,485.34461481047686,2128,1.8270910036888828,2651,0.8027159562429272,3,3,3,2.7108060108295344
ITS-Mam-612596,Mammalia,Indian Ocean bottlenose dolphin,Tursiops aduncus,IDP,0,50,PST,0,280,50,280,50,0.17857142857142858,1,3,130.54452395106523,2121,1.22246345030421,2651,0.8000754432289702,3,1,1,1.7320508075688774
