species_id,gear,encount_prob,E_scaled,sumA,A_scaled,sel0123,pcm,geomean
ITS-Mam-180471,GND,0.75,2.4998343822457767,165.7305639,1.2824252422579008,3,3,2.3176425258870887
ITS-Mam-180471,PST,0.05357142857142857,1.111123623754701,37.80773141,1.0644273577808732,1,1,1.0428446137614904
ITS-Mam-180471,LLT,0.0375,1.0749037986351344,52.83977354,1.0900439996259927,1,1,1.0404073378681629
ITS-Mam-771132,GND,1,3,14.99944199,1.0255589341748803,3,3,2.293934941234234
ITS-Mam-771132,PST,0.07142857142857142,1.1482874846792863,6.340674984,1.010803218930418,1,1,1.0379568799962842
ITS-Mam-771132,LLT,0.05,1.0999050480035093,24.76300799,1.0421973769885835,1,1,1.0347282177541945
ITS-Mam-180419,GND,0.8,2.599867505796621,374.1033684,1.637520807915394,3,3,2.4879699935443047
ITS-Mam-180419,PST,0.08928571428571429,1.1854513456038718,99.00067745,1.1687084507021053,1,1,1.0849194111605978
ITS-Mam-180419,LLT,0.0625,1.1249062973718842,186.477209,1.317780343874723,1,1,1.10341743856388
Rep-2666,GND,0.5,1.9996687644915536,1134.865512,2.9339628477519746,3,3,2.6956518146779476
Rep-2666,PST,0.14285714285714285,1.296942928377628,362.9121736,1.6184494916876124,3,2,1.8838348055075222
Rep-2666,LLT,0.1,1.1999100454770089,735.5038456,2.253396316181262,3,2,2.006939958390839
ITS-Mam-180451,GND,0.4,1.7996025173898642,0.81174324899999994,1.001381168166008,3,3,2.0068024858746987
ITS-Mam-180451,PST,0.17857142857142858,1.371270650226799,0.461098388,1.0007836216888637,1,1,1.0823453172430395
ITS-Mam-180451,LLT,0.125,1.2499125442137586,0.533081127,1.000906290054748,1,1,1.0575922540068816
ITS-Mam-180478,GND,0.4,1.7996025173898642,353.2618894,1.6020040964500848,3,3,2.2569434676920266
ITS-Mam-180478,PST,0.17857142857142858,1.371270650226799,69.45230715,1.118354013657824,1,1,1.1128217885817588
ITS-Mam-180478,LLT,0.125,1.2499125442137586,98.68514238,1.1681707360783795,1,1,1.099250032921108
ITS-Mam-612596,GND,0.4,1.7996025173898642,485.3446148,1.827091003554108,3,3,2.3323558942941056
ITS-Mam-612596,PST,0.17857142857142858,1.371270650226799,130.544524,1.222463450355553,1,1,1.137862450729963
ITS-Mam-612596,LLT,0.125,1.2499125442137586,286.5608557,1.4883364738998444,1,1,1.1678718430906536
ITS-Mam-180449,GND,0.4,1.7996025173898642,0.086878573,1.0001459002875197,3,3,2.006183319497889
ITS-Mam-180449,PST,0.17857142857142858,1.371270650226799,0.077845641,1.0001305069442965,3,1,1.4242140885214758
ITS-Mam-180449,LLT,0.125,1.2499125442137586,0.305552904,1.0005185510537633,1,1,1.0574898145096516
Fis-32599,GND,0.26159420289855073,1.522699233357816,259.7818381,1.442701390064209,1,3,1.6022414343676026
Fis-32599,PST,0.24642857142857144,1.5124933217402237,81.69586982,1.1392187076969478,1,2,1.362487863312438
Fis-32599,LLT,0.1725,1.3449172918135832,200.7506927,1.3421042991073482,1,2,1.3784085558955186
Rep-2941,GND,0.21052631578947367,1.420529628144558,652.974036,2.1127543092080483,3,3,2.279740688215649
Rep-2941,PST,0.3392857142857143,1.705745398548068,185.0822332,1.3154031156084525,3,2,1.9154952582513298
Rep-2941,LLT,0.2375,1.4749237885291326,432.8489363,1.7376312360174504,3,2,1.9802481279554218
Rep-6936,GND,0.21052631578947367,1.420529628144558,365.5655512,1.622971207571006,3,3,2.1342775946794394
Rep-6936,PST,0.3392857142857143,1.705745398548068,117.7317001,1.2006286578481633,3,2,1.8722702695059035
Rep-6936,LLT,0.2375,1.4749237885291326,272.736019,1.464777074102502,3,2,1.89746201754523
Rep-8732,GND,0.21052631578947367,1.420529628144558,82.1059144,1.139917479364533,3,3,1.9538515093406013
Rep-8732,PST,0.3392857142857143,1.705745398548068,28.106715,1.0478955079656944,3,2,1.8096553011329768
Rep-8732,LLT,0.2375,1.4749237885291326,84.95549587,1.1447735532960843,3,2,1.7840626639488515
ITS-Mam-612592,GND,0.2,1.3994700231864856,18.89891039,1.0322041580589862,2,2,1.550412634903523
ITS-Mam-612592,PST,0.35714285714285715,1.7429092594726532,16.4237822,1.0279862033848537,1,1,1.1569524651912106
ITS-Mam-180535,GND,0.2,1.3994700231864856,65.74214089,1.112031386336378,2,2,1.5795564786846248
ITS-Mam-180535,PST,0.35714285714285715,1.7429092594726532,52.6267018,1.0896808964359077,1,1,1.173933587937076
Fis-23051,GND,0.14896907216494845,1.297374361005727,570.2857298,1.9718422024971696,3,3,2.1905087609138656
Fis-23051,PST,0.3464285714285714,1.7206109429179022,157.1281841,1.2677656184724868,2,3,1.9020337775929441
Fis-23051,LLT,0.2425,1.4849242882764826,354.137896,1.6034969306992235,3,3,2.1515613706931163
Fis-23060,GND,0.14896907216494845,1.297374361005727,556.3342165,1.94806692856481,3,3,2.1838757381883926
Fis-23060,PST,0.3464285714285714,1.7206109429179022,157.8156669,1.268937182556061,2,3,1.902473050953163
Fis-23060,LLT,0.2425,1.4849242882764826,352.9248624,1.6014297566580278,3,3,2.150867605162977
ITS-Mam-555654,GND,0.2,1.3994700231864856,381.0374708,1.649337460380975,3,3,2.134906739263929
ITS-Mam-555654,PST,0.35714285714285715,1.7429092594726532,92.67176619,1.1579231261523952,3,1,1.5686243051070092
ITS-Mam-555654,LLT,0.25,1.4999250378975075,226.9563211,1.3867622498530658,1,1,1.2009305461201212
ITS-Mam-180430,GND,0.2,1.3994700231864856,554.0233577,1.944128911246717,3,3,2.2245019567679414
ITS-Mam-180430,PST,0.35714285714285715,1.7429092594726532,252.6147138,1.4304876366257364,3,1,1.6537506775701458
ITS-Mam-180430,LLT,0.25,1.4999250378975075,443.3370894,1.7555044736824303,1,1,1.2738487751522534
ITS-Mam-180417,GND,0.2,1.3994700231864856,746.7812935,2.272614619408656,3,3,2.3130391118911766
