gear,x,y,nspp_S_cell,S_sum_cell
GND,20.25,-44.9346,32,0.0176769278002664
GND,20.25,-44.4346,32,0.0350973954508475
GND,20.25,-43.9346,41,0.0280560697450005
GND,20.25,-43.4346,41,0.0156463764317157
GND,20.25,-42.9346,45,0.0177934451607712
GND,20.25,-42.4346,45,0.0145121325378615
GND,20.25,-41.9346,47,0.0199567356344592
GND,20.25,-41.4346,47,0.0228980458140132
GND,20.25,-40.9346,48,0.019739425948534
GND,20.25,-40.4346,48,0.0143659763666957
GND,20.25,-39.9346,54,0.0148351268111685
GND,20.25,-39.4346,54,0.0210061920787791
GND,20.25,-38.9346,54,0.0360510797887491
GND,20.25,-38.4346,54,0.0584871307224611
GND,20.25,-37.9346,54,0.0546004766256497
GND,20.25,-37.4346,54,0.202328066989295
GND,20.25,-36.9346,63,1.00833011398346
GND,20.25,-36.4346,76,2.63188221151016
GND,20.25,-35.9346,67,4.08472195751145
GND,20.25,-35.4346,81,12.2330095965061
GND,20.25,-34.9346,82,14.0683738692146
GND,20.25,-34.4346,80,13.3154194760316
GND,20.75,-44.9346,32,0.0164061801684882
GND,20.75,-44.4346,32,0.0556426727765582
GND,20.75,-43.9346,41,0.0439902887658944
GND,20.75,-43.4346,41,0.0155885931131797
GND,20.75,-42.9346,45,0.0207585466231341
GND,20.75,-42.4346,45,0.0198384574822546
GND,20.75,-41.9346,47,0.0269070445221589
GND,20.75,-41.4346,47,0.0244376605460487
GND,20.75,-40.9346,48,0.0195677981390187
GND,20.75,-40.4346,48,0.0238461839856233
GND,20.75,-39.9346,54,0.022965550264034
GND,20.75,-39.4346,54,0.0214372421066748
GND,20.75,-38.9346,54,0.0387099959769551
GND,20.75,-38.4346,54,0.0719136084155637
GND,20.75,-37.9346,54,0.0660911039564635
GND,20.75,-37.4346,54,0.217582290964782
GND,20.75,-36.9346,67,1.41000905245599
GND,20.75,-36.4346,72,3.49288389395307
GND,20.75,-35.9346,75,9.03248124799904
GND,20.75,-35.4346,81,14.9089300570469
GND,20.75,-34.9346,82,22.9871540217345
GND,20.75,-34.4346,80,23.6003840742244
GND,21.25,-44.9346,32,0.0174339840759389
GND,21.25,-44.4346,32,0.0360121254661737
GND,21.25,-43.9346,41,0.0295483351533934
GND,21.25,-43.4346,41,0.011417852740378
GND,21.25,-42.9346,45,0.013917924689634
GND,21.25,-42.4346,45,0.0222521159766345
GND,21.25,-41.9346,47,0.0237963277477995
GND,21.25,-41.4346,47,0.0156577111322118
GND,21.25,-40.9346,48,0.0187776804068506
GND,21.25,-40.4346,48,0.0316258160337581
GND,21.25,-39.9346,54,0.032195427458227
GND,21.25,-39.4346,54,0.0343137472458841
GND,21.25,-38.9346,54,0.043386017418574
GND,21.25,-38.4346,54,0.0455140488943253
GND,21.25,-37.9346,55,0.0560166264532377
GND,21.25,-37.4346,55,0.147850324651774
GND,21.25,-36.9346,66,0.833830902078253
GND,21.25,-36.4346,71,2.56600577247694
GND,21.25,-35.9346,83,11.2779805914446
GND,21.25,-35.4346,82,26.2919284074932
GND,21.25,-34.9346,85,36.5742629525573
GND,21.25,-34.4346,83,32.9647206010414
GND,21.75,-44.9346,32,0.00689869747819582
GND,21.75,-44.4346,32,0.0153267326749049
GND,21.75,-43.9346,41,0.0222827771623655
GND,21.75,-43.4346,41,0.0279219525038749
GND,21.75,-42.9346,45,0.0382471573152058
GND,21.75,-42.4346,45,0.0534870061126722
GND,21.75,-41.9346,47,0.0422346841169239
GND,21.75,-41.4346,47,0.0156190917117042
GND,21.75,-40.9346,48,0.0130390206359415
GND,21.75,-40.4346,48,0.0217573630300649
GND,21.75,-39.9346,54,0.0270732865288726
GND,21.75,-39.4346,54,0.0374233048205407
GND,21.75,-38.9346,54,0.0470552681725268
GND,21.75,-38.4346,54,0.0470229837529739
GND,21.75,-37.9346,55,0.0507281163298247
GND,21.75,-37.4346,55,0.0962124361377962
GND,21.75,-36.9346,63,0.408575011024341
GND,21.75,-36.4346,76,1.57702709633894
GND,21.75,-35.9346,79,4.71840556229757
GND,21.75,-35.4346,84,14.9501235193058
GND,21.75,-34.9346,86,29.5172777374353
GND,21.75,-34.4346,83,31.5059033565941
GND,22.25,-44.9346,32,0.00489962831732797
GND,22.25,-44.4346,32,0.011095668932592
GND,22.25,-43.9346,41,0.026232465582321
GND,22.25,-43.4346,41,0.0730257159438805
GND,22.25,-42.9346,45,0.0760104880016334
GND,22.25,-42.4346,45,0.0373648888244882
GND,22.25,-41.9346,47,0.0246203443880732
GND,22.25,-41.4346,47,0.0162027333582156
GND,22.25,-40.9346,48,0.0170059355724459
GND,22.25,-40.4346,48,0.0206124266707277
GND,22.25,-39.9346,53,0.0251400827084968
GND,22.25,-39.4346,53,0.0276421001041688
GND,22.25,-38.9346,54,0.0477286033376227
GND,22.25,-38.4346,54,0.0547299766138717
GND,22.25,-37.9346,55,0.0510574463320414
GND,22.25,-37.4346,55,0.0696884947890789
GND,22.25,-36.9346,57,0.211956448952603
GND,22.25,-36.4346,64,0.553185697647731
GND,22.25,-35.9346,79,1.43992778671787
GND,22.25,-35.4346,81,6.9441359374462
GND,22.25,-34.9346,89,17.2471384843274
GND,22.25,-34.4346,89,19.0564661847147
GND,22.75,-44.9346,32,0.00351540269254156
GND,22.75,-44.4346,32,0.00798739431440676
GND,22.75,-43.9346,41,0.018453542928101
GND,22.75,-43.4346,41,0.0359590583313285
GND,22.75,-42.9346,45,0.0474537804648282
GND,22.75,-42.4346,45,0.0312548840767498
GND,22.75,-41.9346,47,0.0239230039882248
GND,22.75,-41.4346,47,0.0289128478700247
GND,22.75,-40.9346,48,0.0381328331464469
GND,22.75,-40.4346,48,0.0328343402960703
GND,22.75,-39.9346,53,0.0282676372158765
GND,22.75,-39.4346,53,0.0304157735400668
GND,22.75,-38.9346,54,0.0409416944054519
GND,22.75,-38.4346,54,0.0551870692641909
GND,22.75,-37.9346,55,0.052866401098614
GND,22.75,-37.4346,55,0.0445466433921856
GND,22.75,-36.9346,57,0.0733515685579199
GND,22.75,-36.4346,59,0.187163694643416
GND,22.75,-35.9346,66,1.1145048913442
GND,22.75,-35.4346,77,6.75525479880438
GND,22.75,-34.9346,82,18.2025334698867
GND,22.75,-34.4346,89,27.0413289998803
GND,22.75,-33.9346,55,9.51248499014544
GND,23.25,-44.9346,32,0.00415327368254063
GND,23.25,-44.4346,32,0.00604948782655684
GND,23.25,-43.9346,41,0.013531759495218
GND,23.25,-43.4346,41,0.0362569601709556
GND,23.25,-42.9346,45,0.0429118444404553
GND,23.25,-42.4346,45,0.0423633116029426
GND,23.25,-41.9346,45,0.0402323204408496
GND,23.25,-41.4346,45,0.0294963796416199
GND,23.25,-40.9346,48,0.0296253408167106
GND,23.25,-40.4346,48,0.044986712425076
GND,23.25,-39.9346,52,0.048694546890113
GND,23.25,-39.4346,52,0.0521482341377817
GND,23.25,-38.9346,55,0.0628200249042393
GND,23.25,-38.4346,55,0.0766834973648312
GND,23.25,-37.9346,52,0.0659339136081956
GND,23.25,-37.4346,52,0.0644012392560219
GND,23.25,-36.9346,57,0.120759908890741
GND,23.25,-36.4346,57,0.13650790054022
GND,23.25,-35.9346,59,0.431290252641856
GND,23.25,-35.4346,66,3.97857456451063
GND,23.25,-34.9346,85,13.6279745851569
GND,23.25,-34.4346,89,24.9074720972912
GND,23.25,-33.9346,43,8.04375501318369
GND,23.75,-44.9346,32,0.00706768872832434
GND,23.75,-44.4346,32,0.0167393796982099
GND,23.75,-43.9346,41,0.0238137043214431
GND,23.75,-43.4346,41,0.0218504647524102
GND,23.75,-42.9346,45,0.0215391422233541
GND,23.75,-42.4346,45,0.0240900489326848
GND,23.75,-41.9346,45,0.0461023723617217
GND,23.75,-41.4346,45,0.042561607206041
GND,23.75,-40.9346,48,0.0371636227313309
GND,23.75,-40.4346,48,0.0327238796679765
GND,23.75,-39.9346,52,0.0366486204274419
GND,23.75,-39.4346,52,0.0479129176752384
GND,23.75,-38.9346,55,0.0580494668830741
GND,23.75,-38.4346,55,0.0729031119763067
GND,23.75,-37.9346,52,0.0822926397106303
GND,23.75,-37.4346,52,0.119378855295778
GND,23.75,-36.9346,57,0.152129299157286
GND,23.75,-36.4346,57,0.101282214197347
GND,23.75,-35.9346,57,0.0867394486656668
GND,23.75,-35.4346,60,3.27666128653257
GND,23.75,-34.9346,84,17.9595226453744
GND,23.75,-34.4346,91,28.424252003775
GND,23.75,-33.9346,89,25.490357350028
GND,24.25,-44.9346,32,0.0104365131613243
GND,24.25,-44.4346,32,0.0462154125860656
GND,24.25,-43.9346,41,0.0453255548659636
GND,24.25,-43.4346,41,0.0167994889324856
GND,24.25,-42.9346,45,0.0114014558428403
GND,24.25,-42.4346,45,0.0163780130091271
GND,24.25,-41.9346,44,0.0313630068510197
GND,24.25,-41.4346,44,0.0611206814192526
GND,24.25,-40.9346,47,0.0700848567171732
GND,24.25,-40.4346,47,0.0434806587297562
GND,24.25,-39.9346,50,0.0364400433500728
GND,24.25,-39.4346,50,0.0566205160244698
GND,24.25,-38.9346,54,0.0573133527377267
GND,24.25,-38.4346,54,0.0633051578926211
GND,24.25,-37.9346,54,0.0919091443039162
GND,24.25,-37.4346,54,0.121877339946694
GND,24.25,-36.9346,57,0.0941570410118731
GND,24.25,-36.4346,57,0.0529210702865811
GND,24.25,-35.9346,56,0.0524560807872895
GND,24.25,-35.4346,58,3.48841913370124
GND,24.25,-34.9346,76,16.959638395565
GND,24.25,-34.4346,90,24.4050961184516
GND,24.75,-44.9346,32,0.00609069707875126
GND,24.75,-44.4346,32,0.0165264033805034
GND,24.75,-43.9346,41,0.0257939329815259
GND,24.75,-43.4346,41,0.0227001791860379
GND,24.75,-42.9346,45,0.0198535426160136
GND,24.75,-42.4346,45,0.0150694187525809
GND,24.75,-41.9346,44,0.0221722427319998
GND,24.75,-41.4346,44,0.0447386458919282
GND,24.75,-40.9346,47,0.0516311023734329
GND,24.75,-40.4346,47,0.0416193632672157
GND,24.75,-39.9346,50,0.0372387950935434
GND,24.75,-39.4346,50,0.0416966806038822
GND,24.75,-38.9346,54,0.0545486379573994
GND,24.75,-38.4346,54,0.0740230286217045
GND,24.75,-37.9346,54,0.0910095965998818
GND,24.75,-37.4346,54,0.0725383524000911
GND,24.75,-36.9346,57,0.0384248987990458
GND,24.75,-36.4346,57,0.0209363811735531
GND,24.75,-35.9346,56,0.0233470982068374
GND,24.75,-35.4346,56,2.52577858549876
GND,24.75,-34.9346,82,14.7543606218693
GND,24.75,-34.4346,90,20.2737928506748
GND,24.75,-33.9346,91,19.3366193870071
GND,25.25,-44.9346,32,0.00343410440604475
GND,25.25,-44.4346,32,0.00653179649646582
GND,25.25,-43.9346,41,0.00939007641250193
GND,25.25,-43.4346,41,0.0151672513386727
GND,25.25,-42.9346,44,0.0202327767433705
GND,25.25,-42.4346,44,0.0222949388278349
GND,25.25,-41.9346,44,0.0262691945546586
GND,25.25,-41.4346,44,0.0304691931574085
GND,25.25,-40.9346,47,0.030894609564544
GND,25.25,-40.4346,47,0.0269397921837523
GND,25.25,-39.9346,50,0.0251202099606263
GND,25.25,-39.4346,50,0.0363514007633521
GND,25.25,-38.9346,53,0.0466272007193428
GND,25.25,-38.4346,53,0.063672550381369
GND,25.25,-37.9346,54,0.10784407023282
GND,25.25,-37.4346,54,0.0824188656331018
GND,25.25,-36.9346,57,0.0431317860253023
GND,25.25,-36.4346,57,0.0266277957793532
GND,25.25,-35.9346,56,0.0206797587091592
GND,25.25,-35.4346,56,1.28997581595065
GND,25.25,-34.9346,74,9.03864894161006
GND,25.25,-34.4346,92,18.5410027388051
GND,25.25,-33.9346,93,22.8370708688617
GND,25.75,-44.9346,32,0.00471196635322495
GND,25.75,-44.4346,32,0.00815020754433797
GND,25.75,-43.9346,41,0.0122790704497783
GND,25.75,-43.4346,41,0.0166676535383192
GND,25.75,-42.9346,44,0.0345774489254253
GND,25.75,-42.4346,44,0.044113109887775
GND,25.75,-41.9346,44,0.0515550817364374
GND,25.75,-41.4346,44,0.0562889577374567
GND,25.75,-40.9346,47,0.044404273775236
GND,25.75,-40.4346,47,0.0244571717667151
