country_rank,country_name,country_allgears,avg_eff_yr,country_GN,avg_GNeff_yr,country_PS,avg_PSeff_yr,country_LL,avg_LLeff_yr
1,Pakistan,PAK,96178679.57876693,PAK,94794224.57490635,IND,8248634.95485344,TWN,17387696.47592501
2,India,IND,91315208.92086555,IND,83066573.9660121,TZA,8151729.278280005,LKA,11655688.646845121
3,Sri Lanka,LKA,32797428.044236023,THA,28579953.898795635,LKA,5104159.270039547,MDG,6757871.317574375
4,Thailand,THA,30771100.558364008,LKA,16037580.127351357,MYS,4354389.279840184,SYC,5056418.921513852
5,Indonesia,IDN,17606478.131473903,BGD,13511082.188096184,JPN,4290720.160247882,KOR,5010161.5988090765
6,"Taiwan, Province of China",TWN,17387696.47592501,IDN,8652487.682148242,SYC,4068501.464585153,IDN,4927438.520557874
6,Taiwan,TWN,17387696.47592501,IDN,8652487.682148242,SYC,4068501.464585153,IDN,4927438.520557874
7,Bangladesh,BGD,15035591.007952845,MYS,8495010.735740224,IDN,4026551.928767786,OMN,4731121.685581753
8,"Korea, Republic of",KOR,13684888.008681955,KOR,7921704.434553257,THA,2159963.74146253,TZA,3572333.2440889077
8,South Korea,KOR,13684888.008681955,KOR,7921704.434553257,THA,2159963.74146253,TZA,3572333.2440889077
9,Malaysia,MYS,12849400.015580408,YEM,5183921.805181466,ESP,1234808.3535985884,AUS,2499905.52075346
10,"Tanzania, United Republic of",TZA,11733381.48377187,IRN,3218469.446019099,KOR,753021.9753196232,YEM,2171181.579987794
11,Seychelles,SYC,9141855.220752696,ARE,1709755.3093852377,AUS,548195.4852769224,BGD,1524508.819856659
12,Yemen,YEM,7508661.752626653,SAU,1643188.6763458757,FRA,307286.85645942757,PAK,1384455.0038605786
13,Madagascar,MDG,6757871.317574374,AUS,743581.2325227822,ITA,227413.69538175146,ESP,530842.2552632715
14,Oman,OMN,4731121.685581753,FRA,563987.4076651307,ZAF,213611.42601987606,EGY,435998.54973816336
15,Japan,JPN,4354176.477042051,ESP,516054.61480526614,CHN,194967.28523677294,SAU,366305.7198657556
16,Australia,AUS,3791682.2385531645,KWT,512753.2645012385,EGY,167226.90047049025,FRA,208204.6541497799
17,"Iran, Islamic Republic of",IRN,3255548.0666425265,QAT,316715.87626700645,MOZ,156541.64706385107,ZAF,205468.48523444647
18,Spain,ESP,2281705.2236671257,CHN,307894.0265503346,YEM,153558.367457392,ITA,168653.22888213268
19,Saudi Arabia,SAU,2129816.1256853794,ZAF,302837.6547168627,SAU,120321.7294737478,GRD,162523.81063781437
20,United Arab Emirates,ARE,1795421.4940917187,REU,211290.5491262737,ARE,85666.1847064811,AGO,119569.70777861346
21,France,FRA,1079478.9182743381,EGY,194903.15598353354,AGO,70798.41340955894,ERI,98573.34798673817
22,Egypt,EGY,798128.606192187,MYT,184589.02700929428,PHL,65999.11543892219,JPN,63456.3167941691
23,South Africa,ZAF,721917.5659711853,MMR,117859.73837715485,DZA,53726.92467677671,MUS,59192.294913789294
