Country,avg_eff_yr,count_cells,Lines_Longlines,Seine_Purse_Seine,Gillnets
PAK,96178679.57876693,22951,1384455.0038605786,0,94794224.57490635
IND,91315208.92086555,475390,0,8248634.954853439,83066573.9660121
LKA,32797428.044236023,200942,11655688.646845123,5104159.270039548,16037580.127351357
THA,30771100.558364008,81561,31182.918105843244,2159963.74146253,28579953.898795635
IDN,17606478.131473903,269155,4927438.520557874,4026551.928767786,8652487.682148242
TWN,17387696.47592501,91851,17387696.47592501,0,0
BGD,15035591.007952845,1320,1524508.8198566593,0,13511082.188096182
KOR,13684888.008681955,301414,5010161.5988090765,753021.9753196231,7921704.434553257
MYS,12849400.015580408,262286,0,4354389.279840183,8495010.735740224
TZA,11733381.48377187,45134,3572333.244088908,8151729.278280005,9318.961402957257
SYC,9141855.220752696,226840,5056418.921513852,4068501.464585153,16934.83465369121
YEM,7508661.752626653,11628,2171181.579987794,153558.367457392,5183921.805181467
MDG,6757871.317574374,2919,6757871.317574374,0,0
OMN,4731121.685581753,2067,4731121.685581753,0,0
JPN,4354176.477042051,254430,63456.316794169106,4290720.160247882,0
AUS,3791682.2385531645,310108,2499905.5207534605,548195.4852769224,743581.232522782
IRN,3255548.0666425265,69641,35969.72634463507,1108.894278792404,3218469.4460190996
ESP,2281705.2236671257,401090,530842.2552632714,1234808.3535985884,516054.6148052662
SAU,2129816.1256853794,90278,366305.7198657556,120321.7294737478,1643188.6763458757
ARE,1795421.4940917187,930,0,85666.1847064811,1709755.309385238
FRA,1079478.9182743381,263121,208204.6541497799,307286.85645942757,563987.4076651307
EGY,798128.606192187,86740,435998.54973816336,167226.90047049025,194903.15598353356
ZAF,721917.5659711853,140204,205468.48523444647,213611.42601987606,302837.6547168627
KWT,512753.2645012385,288,0,0,512753.2645012385
ITA,507203.6104885762,166824,168653.22888213268,227413.6953817515,111136.6862246921
CHN,506226.76356874296,152652,3365.4517816354514,194967.28523677294,307894.0265503346
QAT,316715.87626700645,471,0,0,316715.87626700645
REU,228784.10160571794,1431,17493.55247944423,0,211290.54912627372
MYT,214646.93569378144,540,30057.908684487145,0,184589.02700929428
AGO,190368.1211881724,4086,119569.70777861348,70798.41340955894,0
MOZ,181849.12500454474,228003,21169.60271211313,156541.6470638511,4137.875228580547
MMR,163702.17142709813,3716,1752.8251265115243,44089.607923431766,117859.73837715485
GRD,162523.81063781437,648,162523.81063781437,0,0
KEN,105939.69830019382,1075,25408.092890450655,50206.448936309986,30325.156473433195
ERI,98573.34798673815,690,98573.34798673815,0,0
PRT,83370.36222421406,363755,30027.99737068087,16308.786928943877,37033.5779245893
PHL,71167.02233343768,72096,4411.7938907732705,65999.11543892219,756.1130037422248
